fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
159,WELATINA,148,435,2.9,88,20.5,65.5,14,80.2,19.8,19.8,13.1,67.1,3.3,75.4,4204,43,13.5,59.8,34.5,9.7,48.5,25.9,7.4,11.8,,,
160,JANDORET,669,1841,2.8,78,18,67,15,84.5,15.5,15.6,11.8,72.7,2.8,68.3,4834,59,11.4,56.7,12.4,3.3,42.5,34,6,10.4,,,
161,HABAAI,75,407,2.2,65,6.4,28.5,65.1,77.3,22.7,30.1,17.6,52.3,2.3,84.4,5046,,,,83.5,2.2,47.5,17.7,17.9,5,,,
162,JANWE,70,183,2.6,93,13.7,66.7,19.7,67.6,32.4,32.4,26.4,41.2,9.3,66.3,6450,,,,12.9,1.4,30.1,44.9,9.6,7.7,,,
163,WELTEVREDEN,27,76,2.8,,,,,,,,,,,,,,,,18.5,14.8,42.4,35.6,3.4,15.3,,,
164,JENEFU,31,86,2.8,,,,,,,,,,,,,,,,38.7,6.5,59.7,27.8,4.2,5.6,,,
165,WESTPUNT,256,738,2.9,96,17.9,64.2,17.9,93.4,6.6,6.6,6.9,86.4,1.5,57.3,4213,20,14.8,51.2,6.1,1.6,44.4,33.6,8.7,6.4,,,
166,JONCHI,15,46,3.1,,,,,,,,,,,,,,,,6.7,,20,68.6,5.7,0,,,
167,WETO (Rehderslust),258,750,2.9,80,22.1,68,9.9,85.1,14.9,14.9,14.2,70.8,1.9,61,3769,53,11.5,65.2,8.9,4.7,43.8,32.5,6.3,8.6,,,
168,JONGBLOED,1246,3193,2.5,89,19.3,64.7,16,68.4,31.6,31.7,22,46.3,6.4,63.3,6414,51,7.2,62.1,6.4,4,31.6,43.7,6.6,9,,,
169,WISHI,328,841,2.6,75,20.5,66.9,12.6,69.5,30.5,30.7,17.4,52,6.7,54,2918,62,12.8,59.6,82.2,12.5,46.4,27.8,6.2,11.8,,,
170,JONISBERG,159,426,2.7,89,17.4,63.1,19.5,68.6,31.4,31.4,28.1,40.4,4.8,61.2,4720,36,6.2,55.1,5.1,8.8,40,38.8,6.4,5.5,,,
171,ZAKITO,98,228,2.3,93,14,64.5,21.5,58.8,41.2,41.2,17.5,41.2,8.1,59.5,9208,,,,60.2,8.3,35.1,43.3,6.2,7.7,,,
172,ZEELANDIA,88,135,1.5,39,6.7,37.8,55.6,63,37,37.3,32.8,29.9,0.7,67.9,5912,,,,5.7,,23,30.2,27.8,1.6,,,
173,JUAN BAEZA,180,444,2.5,91,21.8,66.2,11.9,69.4,30.6,30.8,16.4,52.8,3.5,63.2,3075,73,6,62,37.9,3.9,36.7,36.1,5.6,14.4,,,
174,ZEGU,65,192,3,76,17.7,70.3,12,81.8,18.2,18.5,12.2,69.3,6.7,58.3,3628,,,,35.4,11.1,33.3,42,6.7,14,,,
175,JUAN DOMINGO BIJ COLON,62,168,2.7,81,19.6,61.3,19,79.2,20.8,21,25.7,53.3,3.1,73.1,6839,,,,23,4.9,34.8,35.6,7.6,13.6,,,
176,JUAN DOMINGO BIJ MAHUMA,333,955,2.9,77,25.9,63.9,10.3,85.6,14.4,14.4,11.8,73.8,5.7,62.5,3808,57,11.2,61.9,16.3,19.2,41.8,35.2,4.2,12,,,
177,NOORD STA. ROSA,129,355,2.8,87,22,66.8,11.3,81.6,18.4,18.4,13,68.6,1.2,58.4,4113,59,11.8,61,3.1,8.6,39,35.3,5.6,10.8,,,
178,JUAN HATO,236,603,2.6,92,13.8,64.2,22.1,80.8,19.2,19.2,17.7,63.1,2.9,62.6,5302,69,7.2,56.2,8.5,4.3,36.1,37.3,11.1,8.8,,,
179,ZUURZAK,102,312,3.1,84,32.4,61.5,6.1,56.1,43.9,43.9,26.9,29.2,7.7,50.5,13179,,3.6,80.1,4.1,,12,67,1,17.2,,,
180,ZUURZAK BIJ BLOMONTE,44,119,2.7,70,19.3,69.7,10.9,78,22,22.2,24.8,53,2.7,58,5674,,,,9.1,,32.3,39.8,4.3,14,,,
181,JUANOTA,41,107,2.6,84,17.8,71,11.2,73.6,26.4,26.4,9.4,64.2,0,68.2,4629,,,,7.3,19.5,40,17.6,9.4,23.5,,,
182,SCHARLOO,23,53,2.3,,,,,,,,,,,,,,,,8.7,30.4,29.5,36.4,6.8,15.9,,,
183,JULIANADORP,393,1068,2.7,96,21.7,64,14.2,45,55,55,22.3,22.6,13.7,62.7,10937,27,4.1,58.5,31.9,0.8,17.7,62.6,4.5,9.3,,,
184,BATAVIERWIJK,30,71,2.4,,,,,,,,,,,,,,,,26.7,20,49.1,29.8,5.3,5.3,,,
185,KALABARI,92,230,2.5,70,18.7,60.4,20.9,80.4,19.6,19.6,15.7,64.8,3.1,60.4,4401,,13.9,54,5.4,5.5,36.6,34.4,10.8,11.3,,,
186,COCOWIJK,53,140,2.6,73,17.9,67.9,14.3,65.2,34.8,35.1,20.9,44,0.7,47,2655,,,,21.2,48.1,38.7,29.7,9.9,9.9,,,
187,KANGA,378,972,2.6,85,19.2,66.6,14.2,64.8,35.2,35.3,18.4,46.3,3.4,59.5,3113,50,9.3,60.4,7.9,7.4,41.2,35.4,6.1,10.6,,,
188,KAS CHIKITU,45,118,2.6,97,21.2,69.5,9.3,72.9,27.1,27.1,14.4,58.5,3.4,50,2372,,,,86.7,15.6,46.1,24.7,4.5,16.9,,,
189,RUST EN VREDE BIJ BRIEVENGAT,34,96,2.8,,,,,,,,,,,,,,,,5.9,,32.9,51.9,3.8,8.9,,,
190,KATOENTUIN,93,241,2.6,90,22.8,69.7,7.5,59.3,40.7,40.7,19.9,39.4,5.6,74.6,9547,,4.8,66.7,6.5,,18.3,53.3,6.7,14.4,,,
191,NORMANDIE,82,196,2.4,87,17.3,68.9,13.8,56.1,43.9,43.9,15.3,40.8,0.5,60.8,4709,,12.7,67.9,19.5,22.2,43.4,34.6,10.1,6.3,,,
192,KENT U ZELF,97,284,2.9,76,25,66.5,8.5,80.6,19.4,19.4,15.5,65,3.2,53.6,3643,,11.1,67.6,5.2,7.2,34,36.8,5.7,14.6,,,
193,BELLEVUE,32,65,2,,,,,,,,,,,,,,,,,6.3,29.3,34.5,5.2,13.8,,,
194,KINTJAN,100,231,2.3,76,14.3,63.6,22.1,60.8,39.2,39.2,23.8,37,4.2,62.3,7871,,11.1,63.6,7.1,3,30.6,45.6,6.2,5.7,,,
195,TONI KUNCHI,129,379,2.9,89,22.2,65.4,12.4,60.2,39.8,39.8,32.5,27.7,19,57,11732,,1.1,60.7,5.4,0.8,21.7,62.1,4.8,5.2,,,
196,KIRINDONGO ABOU,567,1768,3,82,21.5,71.4,7.1,85.4,14.6,14.6,12.3,73.1,1.4,62.7,3524,56,19,60.9,16,9.8,50,28.1,3.7,10.7,,,
197,VIVIR CONTENTO,72,175,2.4,86,24,57.7,18.3,80,20,20,24.6,55.4,0,75.9,3237,,,,5.6,11.4,49.6,21.4,6.1,13.7,,,
198,KLEIN DAVELAAR,44,104,2.4,76,18.3,60.6,21.2,54.8,45.2,45.2,32.7,22.1,4.9,44.7,6948,,,,16.3,2.3,26.5,39.8,9.6,12,,,
199,ROOI INDJAN,29,79,2.7,,,,,,,,,,,,,,,,13.8,6.9,52.9,23.5,7.8,5.9,,,
